Staff Member,Research Activity,Research Area,Special Focus
Charlie Chaplin,"twirling a cane, rescuing kids, struggling with modern times","Black-and-white movies, Comedy, Hollywood",
Charlie Parker,playing jazz saxophone,Jazz,
Che Guevara,"spreading revolution, promoting communism, promoting socialism","Cuban politics, the Cuban revolution, Cuba",
Christian Bale,"starring in action movies, wearing a batsuit","Hollywood, Acting",
Christopher Columbus,"searching for a new world, exploring the new world","the Americas, the Age of Discovery",
Christopher Hitchens,ranting about politics,"Political criticism, the Left",
Chuck Norris,starring in action movies,"Hollywood, Acting, Action movies",
Cicero,"giving speeches, defending plaintiffs","Oratory, Rhetoric, Ancient Rome, Roman politics",
Clark Gable,"starring in Hollywood movies, ","Hollywood, Acting",
Clark Kent,reporting for The Daily Planet,"DC Comics, Metropolis, the Daily Planet",Dagon Studies
Cleopatra,seducing emperors,"Ancient Egypt,",
Julius Caesar,running an empire,"Roman politics, Ancient Rome",
Clint Eastwood,"starring in action movies, directing movies","Hollywood, Acting",
Colin Farrell,"starring in Hollywood movies, starring in indy movies, womanizing, making unauthorized sex tapes","Hollywood, Acting",
Colonel Sanders,"deep-frying chicken, selling fried chicken","KFC, Fried Chicken, Southern Food, Fast Food",
Confucius,"teaching philosophy, spreading philosophy, teaching the next generation","Chinese philosophy, Eastern philosophy",
Nicolaus Copernicus,"promoting Heliocentrism,","Astronomy, the Cosmos, Medieval science",
Cosmo Kramer,"mooching from neighbors, developing crazy schemes","The Seinfeld Chronicles, Comedy",Dagon Studies
Courtney Love,playing grungy music,"Rock music, Alternative Rock",
Croesus,"collecting treasures, ruining an empire, running an empire","Lydia, the Ancient world",
Herodotus,"writing about history, recording history","Ancient Greece, the Ancient world",
Daffy Duck,"chasing rabbits, spitting while speaking","Looney Tunes, Warner Bros animation",Dagon Studies
Dame Edna Everage,moaning about men,"Australia, Drag, Cross-Dressing",
Dan Brown,writing pot-boilers,"The Da Vinci Code, Popular fiction, ",
Robert Langdon,"studying symbols, studying icons, following clues","Symbology, Religious Iconology",Dagon Studies
Dan Quayle,campaigning for the senate,"American politics, the Right",
Daniel Craig,"starring in action movies, starring in indy movies, playing James Bond","Acting, James Bond",
Daniel Boone,hunting raccoons,"the American West, ",
Dante Alighieri,writing poetry,"Italian literature, Italian poetry",
Darth Maul,"promoting the Dark Side, fighting the forces of good, duelling acrobatically","Star Wars, the Dark Side",Dagon Studies
Darth Vader,"promoting the Dark Side, working for the forces of darkness, fighting the forces of good, duelling acrobatically","Star Wars, the Dark Side",Dagon Studies
Davy Crockett,"hunting raccoons, defending freedom",American politics,
David Beckham,"playing soccer, promoting hair products","English soccer, Soccer",
David Blaine,"performing street magic, performing magic tricks","Magic, Street Magic",
David Bowie,"singing pop songs, writing pop songs","Cross-Dressing, Pop music",
David Byrne,"singing pop songs, writing pop songs",Pop music,
David Caruso,"starring in TV shows, pouting on camera","Acting, CSI: Miami, Police Procedurals",
David Hasselhoff,"starring in reality TV shows, constructing an ironic public image","Acting, Pop music, Baywatch, Knight Rider",
Dave Lee Roth,singing rock songs,"Rock music,",
David Letterman,hosting a late night chat show,"Late-night TV, Chat Shows, CBS",
David Lynch,"directing weird movies, writing weird movies","Movies, Twin Peaks",
Dalton Trumbo,"writing scripts, writing compelling dialogue","Movies, Politics, Communism, the Left",
David Mamet,"writing plays, writing scripts, directing movies","Movies, Theatre",
Dean Martin,"singing middle-of-the-road songs, recording pop songs, starring in romantic comedies, crooning love songs","Easy Listening, the Rat Pack",
Deepak Chopra,promoting Eastern philosophy,"Eastern philosophy, Self-Help",
Dexter Morgan,"chasing murderers, killing murderers, analyzing murder scenes, revelling in blood spatter","Miami-Dade, ",Dagon Studies
Dian Fossey,"studying gorillas up close, living amongst apes","Rwanda, Gorillas, Zoology",
Dick Cheney,promoting big business,"the Right, the Republicans, American politics",
Dolly Parton,singing country music,Country music,
Don Vito Corleone,"running a crime family, running an empire","the Mafia, The Godfather",Dagon Studies
Don King,promoting boxing fights,Boxing,
Donald Duck,"eating Peking duck, setting mousetraps",Walt Disney animation,Dagon Studies
Donald Trump,"investing in real estate, developing real estate, building giant walls, postulating bizarre theories,","Real Estate, ",
Dorian Gray,"gadding about town, practicing good skin care, avoiding growing old","The Picture of Dorian Gray, Victorian literature",Dagon Studies
Christian Grey,"running a multinational corporation, seducing women, womanizing, promoting capitalism",Fifty Shades of Grey,Dagon Studies
Doris Day,starring in romantic comedies,"Hollywood, Acting",
Dorothy Parker,"writing for the New Yorker, making witty remarks, writing short stories","American literature, The Algonquin Round Table",
Dr. John Watson,"chasing criminals, offering medical opinions, writing up case notes","Sherlock Holmes, Detective fiction, Victorian literature",Dagon Studies
Professor James Moriarty,"plotting criminal schemes, amassing ill-gotten wealth","Sherlock Holmes, detective fiction, Victorian literature",Dagon Studies
Eddie Murphy,"starring in action movies, starring in comedies","American comedy, American culture, Movies, Stand-Up Comedy",
Eddie Van Halen,"playing rock music, playing rock guitar","Rock music, Guitar music",
Eddy Merckx,"pedalling furiously, winning cycling races, ",Cycling,
Edith Piaf,"singing melancholy songs, ",Cabaret singing,
Edward Hopper,painting melancholy pictures,"American art, Painting",
Elizabeth Taylor,"starring in Hollywood movies, racking up marriages","Acting, Movies",
Elmer Fudd,"hunting rabbits, hunting wabbits","Looney Tunes, Warner Bros animation",Dagon Studies
Elmore Leonard,"writing crime stories, writing compelling dialogue",Crime fiction,
Elvis Presley,"singing rock songs, starring in romantic comedies, gyrating hips, frying peanut-butter and banana sandwiches","Rock music, Musical movies",
Emily Dickinson,writing poetry,Poetry,
Eminem,writing rap songs,Rap music,
Emperor Constantine,running an empire,"Roman politics, Ancient Rome",
Ming The Merciless,"running an empire, terrorizing Earth",Flash Gordon,Dagon Studies
Emperor Palpatine,"running an empire, promoting the Dark Side","Star Wars, the Dark Side",Dagon Studies
Erasmus,promoting humanism,Humanism,
Eric Clapton,"singing blues songs, writing blues songs",Blues music,
Ernest Hemingway,"writing short stories, writing modern fiction, writing about manly pursuits",American literature,
Errol Flynn,"starring in Hollywood movies, womanizing, starring in action movies","Hollywood, Acting, Action movies",
Euclid,"studying mathematics, proving math theorems","Mathematics, Geometry, Ancient Greece",
Evel Knievel,"performing motorcycle stunts, jumping over buses on motorbikes",Motorcycle stunts,
Federico Fellini,"making new wave movies, making Italian movies",Italian Neo-realism,
Fidel Castro,"running a dictatorship, promoting socialism, ","Cuban politics, the Cuban revolution, Cuba",
Flash Gordon,"fighting for justice, defending the Earth",Flash Gordon,Dagon Studies
Florence Nightingale,"treating the sick, treating the injured","the Crimean War, Victorian medicine",
Forrest Gump,"fishing for shrimps, eating a box of chocolates","Greenbow Alabama, the American South",Dagon Studies
Francis Bacon,painting dark pictures,"Expressionist art, Expressionist painting",
Francis Crick,"studying genetics, modeling DNA, ","Biology, DNA, The Double Helix, Genetics",
Frank Capra,making idealistic movies,"It's a Wonderful Life, Hollywood, ",
Frank Columbo,"solving crimes, pursuing criminals, tricking criminals, extracting confessions",Detective fiction,Dagon Studies
Frank Gehry,designing modern buildings,"American architecture, Modern architecture,",
Frank Lloyd Wright,designing modern buildings,"American architecture, Modern architecture,",
Frank Sinatra,"singing middle-of-the-road songs, crooning love songs, recording pop songs, starring in romantic comedies","Easy Listening, the Rat Pack",
Frank Zappa,"singing experimental songs, writing experimental songs",Experimental music,
Franz Liszt,playing classical piano,"Classical music,  Piano music",
Fred Astaire,"starring in romantic comedies, starring in musical comedies, starring in Hollywood movies, enjoying ball-room dancing","Dancing, Hollywood",
Fredo Corleone,"disappointing the family, complaining about big brother",The Godfather,Dagon Studies
Garry Kasparov,playing aggressive chess,Chess,
Garry Trudeau,drawing political cartoons,"Doonesbury, Political Cartoons",
Garth Brooks,singing country music,Country music,
Gary Larson,drawing whimsical cartoons,"Apolitical Cartoons, The Far Side",
Genghis Khan,running an empire,"the Mongols, Mongolia",
George Bernard Shaw,"promoting liberalism, writing plays","British theatre, Victorian literature",
George Clooney,"starring in Hollywood movies, starring in indy movies, womanizing, promoting political causes","Hollywood, Acting",
George Costanza,complaining about life,"The Seinfeld Chronicles, Comedy",Dagon Studies
George Foreman,"winning heavyweight titles, knocking out opponents, winning boxing matches",Boxing,
George Harrison,"playing guitar, singing pop songs","The Beatles, Pop music",
George Orwell,"promoting liberalism, warning about totalitarianism, writing political tracts, writing polemics","Dystopian fiction, ",
George Soros,"managing hedge funds, making billions","Hedge Funds, Speculation",
George W. Bush, launching foreign wars,"the Right, the Republicans, American politics",
George Washington,"leading revolutions, fighting for liberty",the American War of Independence,
Gerard Manley Hopkins,writing modern poetry,"Poetry, Sprung Rhyme",
Megyn Kelly,"promoting conservative values, ranting about liberals","the Right, the Republicans, American politics, Fox News",
Bill O'Reilly,"promoting conservative values, ranting about liberals","the Right, the Republicans, American politics, Fox News",
Glenn Beck,"promoting conservative values, ranting about liberals","the Right, the Republicans, American politics, Fox News",
Gloria Steinem,"promoting feminism, moaning about men","Feminism, the Woman's movement",
Mikhail Gorbachev,coasting on past glories,"the Soviet Union, the Cold War",
Gordon Ramsay,"cursing at kitchen staff, winning Michelin stars, cooking fancy food","Cooking, the Kitchen, Haute Cuisine",
Grace Kelly,"dining with playboy princes, starring in Hollywood movies, starring in romantic comedies","Hollywood, Acting, Monacco",
Greta Garbo,"starring in Hollywood movies, ","Hollywood, Acting",
Groucho Marx,"starring in madcap comedies, ","Hollywood, Comedy, The Marx Brothers",
Gwyneth Paltrow,"running a new-age website, starring in Hollywood movies, raising new-age children, picking weird children names","Hollywood, Acting",
H.P. Lovecraft,"writing purple prose, writing horror stories, writing for pulp magazines",Horror fiction,
Han Solo,"piloting the Millenium Falcon, doing the Kessel run, smuggling contraband, fighting for the rebel alliance",Star Wars,Dagon Studies
Jabba the Hutt,"running a crime family, running a smuggling business",Star Wars,Dagon Studies
Hannibal Lecter,"eating census takers, eluding FBI profilers, eating people","Detective fiction, Horror fiction",Dagon Studies
Harry Houdini,"escaping from handcuffs, escaping from water tanks,","Escapology, Stage Magic, Magic",
Harry Potter,"performing magic tricks, studying magic tricks, playing quidditch","Hogwarts, Teen fiction, Magic",Dagon Studies
Lord Voldemort,"devising evil schemes, striving for world domination, meddling in the dark arts, tormenting muggles","Hogwarts, Teen fiction, Magic",Dagon Studies
Albus Dumbledore,"performing magic tricks, studying magic tricks, teaching magic, running a school for gifted teens, teaching the next generation ","Hogwarts, Teen fiction, Magic",Dagon Studies
Heath Ledger,"starring in Hollywood movies, ","Hollywood, Acting",
Helen Keller,"reading braille, avoiding eye contact",American education,
Henry Ford,"mass-producing cars, running assembly lines, making cars","the Motor industry, the Car industry",
Henry James,writing modern fiction,American literature,
Henry Kissinger,brokering peace deals,"the Right, the Republicans, American politics",
Henry Miller,writing erotic fiction,American literature,
Hercule Poirot,"solving crimes, pursuing criminals, tricking criminals, extracting confessions","Detective fiction, Drawing room mysteries",Dagon Studies
Hillary Clinton,"running for the senate, campaigning for the presidency, frowning at errant husbands, tolerating adultery","American politics, the Left, the Democrats",
Homer,"writing epic poetry, telling epic tales","Ancient Greece, the Ancient world",
Homer Simpson,"eating donuts, avoiding work, working with nuclear materials, drinking Duff beer","The Simpsons, Springfield",Dagon Studies
O.J. Simpson,"playing golf, making threatening phone calls, signing sports memorabilia, shilling for rental car companies","American football, ",
Mark Fuhrman,"abusing minorities, commiting perjury, planting evidence, lying on the stand","the Law, Crime, Reality TV",
Howard Hughes,"running an empire, building airplanes, running a movie studio, hiding from the public","the Aviation industry, the Movie business",
Howard Stern,"shocking radio listeners, hosting radio shows",Talk radio,
Hugh Grant,starring in romantic comedies,"Hollywood, Acting, Comedy",
Hugh Hefner,"publishing soft pornography, dating centrefolds, popping Viagra","Playboy Magazine, Soft pornography",
Hugh Jackman,"starring in Hollywood movies, ","Acting, Movies, Singing, Hollywood, Australia",
Hulk Hogan,"pretending to wrestle, pretending to fight",Wrestling,
Humphrey Bogart,"starring in Hollywood movies, playing tough guys","Hollywood, Acting",
Imelda Marcos,"shopping for shoes, collecting shoes",the Phllippines,
Indiana Jones,"looking for hidden treasures, punching out Nazis, digging for antiquities, unearthing ancient tombs","Raiders of the Lost Ark, Archeology",Dagon Studies
Jack Bauer,"chasing terrorists, punishing terrorists, tracking down terrorists, preventing terrorism","24, American Counter-Terrorism",Dagon Studies
Jack Kerouac,"writing beat fiction, driving around America","the Beat generation, American literature",
Jack Nicholson,"starring in Hollywood movies, womanizing, starring in romantic comedies","Hollywood, Acting",
Jack The Ripper,"terrorizing prostitutes, eluding authorities, slashing victims, eluding capture","Victorian London, Victorian England",
Jackie Chan,"starring in action movies, starring in comedies","Hong Kong, Martial Arts",
Jackson Pollock,"dripping paint onto canvas, painting abstract paintings","Modern art, Abstract art, Abstract painting",
James Bond,"foiling the schemes of evil villains, shagging spies, killing for Mi6","James Bond, Mi6, Espionage",Dagon Studies
Auric Goldfinger,"devising evil schemes, cheating at golf ","James Bond, Terrorism, Finance",Dagon Studies
Ernst Stavro Blofeld,"devising evil schemes, running a clandestine spy organization","James Bond, Terrorism, Finance, SPECTRE",Dagon Studies
Dr. Julius No,"devising evil schemes, collecting stamps","James Bond, Terrorism, Finance",Dagon Studies
Sir Hugo Drax,"devising evil schemes, striving for world domination ","James Bond, Terrorism, Finance",Dagon Studies
Le Chiffre,"devising evil schemes, cheating at poker, playing Baccarat ","James Bond, Terrorism, Finance",Dagon Studies
James Dean,"starring in Hollywood movies, racing fast cars","Hollywood, Acting",
James Franco,"starring in Hollywood movies, ","Hollywood, Acting",
James Joyce,writing modern fiction,"Modern literature, Irish literature",
James T. Kirk,"making strategic decisions, commanding a spaceship","Star Trek, the U.S.S. Enterprise, Starfleet",Dagon Studies
Jamie Oliver,"cooking dinners, running restaurants, promoting healthy eating","Cooking, the Kitchen",
Jane Austen,writing romantic fiction,"Romantic novels, Romantic literature",
Janis Joplin,singing rock songs,Psychadelic music,
Jar Jar Binks,providing comic relief,Star Wars,Dagon Studies
Jason Bourne,"eluding capture, killing people in ingenious ways, eluding the CIA","CIA, Espionage",Dagon Studies
Jay Leno,"doing stand-up, hosting a late night chat show","Late-night TV, Chat Shows, NBC, Stand-Up Comedy",
Jay Z,"producing Hipbop records, singing Hipbop songs","Rap music, Hip-Hop",
JD Salinger,"hiding from the public, writing modern fiction, eluding the public gaze",American literature,
Beyoncé,singing Hipbop songs,"Rap music, Hip-Hop",
Jeff Koons,"making modern art, selling modern art, making kitsch, selling kitsch","American art, Modern art",
Jenna Jameson,starring in pornographic movies,"Pornography, Porn movies",
Jeremy Clarkson,"hosting automotive shows, test-driving cars, insulting minorities","the Right, Cars",
Piers Morgan,"interviewing celebrities, interviewing politicians","Chat Shows, the News",
Jerry Lee Lewis,"singing rock songs, playing rock piano, marrying underage girls",Rock music,
Jerry Lewis,"doing slapstick comedy, starring in comedies, doing stand-up","Comedy, Movies, Hollywood",
Jerry Seinfeld,"doing stand-up, starring in sit-coms","The Seinfeld Chronicles, Comedy",
Jerry Springer,hosting reality TV shows,"Reality TV, Afternoon TV",
Jesse Jackson,"suing large corporations, promoting racial harmony","the Left, the Democrats, American politics",
Jim Jones,"running a religious cult, organizing mass suicides ",Christian Fundamentalism,
Jim Morrison,"singing rock songs, writing rock songs",Rock music,
Jimi Hendrix,"singing rock songs, writing rock songs, playing rock guitar","Rock music, Guitar music",
Jimmy Cagney,"starring in Hollywood movies, playing tough guys","Hollywood, Acting, Comedy",
Jimmy Carter,"building houses for poor people, promoting world peace, campaigning for world peace","the Left, the Democrats, American politics",
Jimmy Stewart,"starring in Hollywood movies, playing everyman characters","Hollywood, Acting",
Joan Rivers,"insulting celebrities, doing stand-up",Comedy,
Joaquin Phoenix,"starring in action movies, starring in indy movies","Hollywood, Acting, Serious Acting",
Joe Biden,plagiarizing political speeches,"the Left, the Democrats, American politics",
Joe Louis,"winning heavyweight titles, knocking out opponents, winning boxing matches",Boxing,
Johann Sebastian Bach,"composing classical music, playing the organ","Classical music, Baroque music, Religious music",
John Belushi,"starring in madcap comedies, ","Comedy, Movies, Hollywood",
John Dillinger,"robbing banks, eluding the FBI","the American Depression, Bank robbing",
J. Edgar Hoover,"running the FBI, ordering wire-taps, cross-dressing in women's clothes","the Law, the FBI",
John Grisham,writing legal fiction,"Legal fiction, Legal drama, Courtroom dramas",
John Keats,writing romantic poetry,Romantic poetry,
John Lennon,"writing pop songs, singing pop songs, campaigning for world peace","The Beatles, Pop music",
John Maynard Keynes,"promoting monetarism, studying economics","Keynesian economics, Monetarist economics",
John McCain,"running for the senate, campaigning for the presidency, making maverick choices","the Right, the Republicans, American politics",
John McEnroe,"whining at umpires, delivering forehand slams, winning tennis tournaments",Tennis,
John Travolta,"dancing to disco music, playing camp villains, starring in Hollywood movies","Hollywood, Acting, Dancing, Scientology",
John Wayne,"starring in cowboy movies, starring in war movies, walking like a man","Hollywood, Acting, Westerns, War movies",
Johnny Cash,singing country music,Country music,
Jon Stewart,hosting a late night chat show,"Comedy Central, Comedy, Late-night TV, the News",
Jonathan Swift,writing political satires,"Satire, the Irish Famine",
Joseph Goebbels,"running a propaganda machine, promoting totalitarianism","the Nazi Party, National Socialism, the Third Reich",
Joseph Stalin,"running a communist country, eliminating political rivals,","the Soviet Union, the Cold War",
Judas Iscariot,"betraying friends, stabbing in the back, selling out","the New Testament, the Bible, the 12 Apostles, Betrayal",
Judge Judy Sheindlin,"judging legal cases, rooting out facts, delivering judgments","Reality TV, Afternoon TV",
Julia Child,"cooking dinners, writing cook books","Cooking, the Kitchen",
Julia Roberts,"starring in Hollywood movies, ","Hollywood, Acting",
Justin Bieber,"entertaining teenagers, singing to teenagers","Pop music, Tweeny music",
Justin Timberlake,"entertaining teenagers, singing to teenagers","Pop music, Tweeny music, Acting",
Kim Kardashian,"starring in reality TV shows, flaunting buttocks",Reality TV,
Kanye West,singing Hipbop songs,"Rap music, Hip-Hop",
Karen Carpenter,"singing pop songs, writing pop songs, playing drums, losing weight","Pop music, Anorexia",
Karl Lagerfeld,"designing clothes, pushing haute couture","Fashion, the Rag Trade, the Fashion industry",
Karl Marx,"promoting communism, fighting for worker's rights, arguing against capitalism","Das Capital, Communism",
Karl Rove,"promoting conservative values, ranting about liberals","the Right, the Republicans, American politics, Fox News",
Kate Moss,"modeling clothes, selling cosmetics,","Fashion, the Rag Trade, the Fashion industry",
Keith Moon,"playing drums, raising cain, throwing TVs out of the windows",Rock music,
Keith Richards,"playing rock music, playing rock guitar",Rock music,
Kevin Smith,"making mediocre movies, selling comic books, podcasting about movies","Hollywood, Indie Movies",
Kim Philby,"betraying friends, stabbing in the back, selling out, changing sides, leaking information","Espionage, Betrayal",
King Lear,"going senile, ",Shakespeare,Dagon Studies
Kobe Bryant,"playing basketball, making dunk shots",Basketball,
Kurt Cobain,"playing grungy music, moaning about life",Grunge music,
Kurt Vonnegut,writing science fiction,"American literature, Dystopian fiction",
Lance Armstrong,"taking anabolic steroids, pedalling furiously, riding a bicycle","Cycling, Cheating",
Lara Croft,"looking for hidden treasures,unearthing ancient tombs, digging for antiquities",Tomb Raider,Dagon Studies
Larry David,"writing TV comedies, doing stand-up","Curb Your Enthusiasm, Comedy",
Larry Flynt,"publishing soft pornography,running gentleman's clubs","Hustler Magazine, Soft pornography",
Larry King,"interviewing celebrities, interviewing politicians","Chat Shows, the News",
Lee Harvey Oswald,assassinating presidents,"the JFK assassination, American history",
Gordon Gekko,"promoting greed, promoting capitalism, making money, launching hostile takeovers",Wall Street,Dagon Studies
Lee Marvin,"starring in Hollywood movies, playing tough guys","Hollywood, Acting, War movies",
Leni Riefenstahl,"promoting totalitarianism, making propagandistic movies","the Third Reich, Documentaries",
Lenny Bruce,"doing stand-up, commenting on social issues",Stand-Up Comedy,
Leo Tolstoy,writing Russian novels,"Russian literature, War And Peace",
Lex Luthor,"promoting greed, promoting capitalism, making money, launching hostile takeovers, striving for world domination, collecting green Kryponite","DC Comics, Metropolis, Big business",Dagon Studies
Lindsay Lohan," driving under the influence, starring in Hollywood movies ","Hollywood, Acting",
Linus Torvalds,"developing open-source software, promoting open-source software, developing operating systems","Linux, Operating Systems",
Lisa Simpson,"playing the saxophone, over-achieving at school","The Simpsons, Springfield",Dagon Studies
Lois Lane,reporting for The Daily Planet,"DC Comics, Metropolis, The Daily Planet",Dagon Studies
Lord Byron,"writing romantic poetry, womanizing, seducing women, scandalizing polite society","English poetry, Romantic poetry",
Lou Reed,"playing rock music, playing rock guitar","The Velvet Revolution, Rock music",
Louis Armstrong,"playing jazz trumpet, playing the trumpet, singing jazz songs",Jazz,
Luciano Pavarotti,singing opera arias,Opera,
Ludwig Van Beethoven,"composing classical music, playing the piano",Classical music,
Luis Suarez,biting opponents,Soccer,
